"범죄대분류,범죄중분류,단독주택_다가구_다중,아파트,다세대_연립,오피스텔_원룸,기타거주시설_기숙사 등,고속도로,자동차 전용도로,일반도로,통행로_보도_골목길,백화점,대형할인점,슈퍼마켓_소매점,편의점,시장_노점,창고_매장창고한정,무인상점,기타상점,숙박업소_호텔_모텔_여관,목욕탕_찜질방_사우나,이발소_미용실,마사지업소,공중위생업소_기타,음식점,카페,주점,단란_유흥주점_나이트_클럽_카바레,버스터미널_정류소,지하철역_전철역,기차역,여객선터미널,공항,버스,택시,자가용자동차,지하철_전철,기차,선박,비행기,교통수단내_기타,공연장_극장,체육시설,공원_놀이시설,게임장_(PC)방,기타_(DVD)방_유원지,어린이집_유치원,학교,도서관,학원,기타 교육시설,금융보험기관,의료기관,종교시설,야외_산야,해안,폐가_공터,공중화장실,관공서,군사기지_군사시설,구금장소,사회복지시설,기타,미상"
"지능범죄,증수뢰,1,5,2,1,4,0,0,1,4,0,0,0,0,1,0,0,3,2,0,0,0,0,12,6,3,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,14,0,0,2,0,3,1,1,0,0,0,37,1,0,0,120,31"
"지능범죄,통화,1,1,1,1,0,1,0,0,2,1,2,9,10,19,0,0,21,0,1,0,1,0,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,248,0,0,0,0,0,1,5,0,0,0,68,80"
"지능범죄,문서_인장,201,644,103,85,93,16,11,263,87,138,135,19,217,17,9,1,611,51,1,1,1,6,106,41,138,70,0,4,4,4,34,1,1,11,0,0,3,1,2,4,20,15,25,2,13,46,2,10,8,127,87,29,33,2,4,1,1548,24,7,16,4989,2138"
"지능범죄,유가증권인지,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,12,7"
"지능범죄,사기,9486,15989,4947,3535,3364,972,180,4296,6392,236,300,476,1646,806,195,300,7828,1516,157,246,84,135,9794,2821,5731,4135,121,335,99,2,48,24,2040,239,56,12,26,4,101,24,1251,129,853,101,41,484,26,144,104,1269,1237,195,1767,313,109,5,1515,143,95,68,158508,90846"
"지능범죄,횡령,543,2179,723,539,243,65,27,3372,8538,356,651,579,1663,552,113,1367,2309,221,132,27,25,58,767,242,349,306,679,1880,90,6,476,1527,845,50,720,10,7,9,116,113,403,1063,316,131,18,329,46,36,30,445,399,61,1735,63,85,829,162,3,9,58,19448,6667"
"지능범죄,배임,45,210,19,28,49,0,0,9,3,3,8,8,9,7,6,0,102,12,1,3,0,0,36,11,3,6,0,1,1,1,2,0,0,2,0,1,1,0,0,1,19,0,0,1,0,20,0,10,2,89,28,13,24,2,1,0,77,0,1,8,2193,523"
"풍속범죄,성풍속범죄,952,3302,1058,704,215,7,0,288,835,35,63,41,132,30,6,22,226,611,132,10,18,40,107,107,82,62,96,497,6,0,7,122,6,24,250,2,1,3,10,16,125,187,637,33,3,299,41,51,24,7,48,5,226,14,3,958,25,81,6,9,4610,2422"
"풍속범죄,도박범죄,804,489,229,133,105,0,0,4,9,0,1,6,2,13,18,1,204,29,3,5,3,25,145,37,29,9,0,2,0,0,1,0,1,4,1,0,0,0,0,0,64,72,451,39,0,0,0,0,2,5,6,1,20,0,2,0,1,24,0,2,2152,684"
"특별경제범죄,특별경제범죄,1528,3655,919,616,573,20,4,695,756,63,109,388,1128,525,74,266,2456,424,96,87,62,88,3380,387,1659,1271,164,107,13,4,7,194,198,19,19,1,2,1,27,30,401,38,150,87,21,95,15,83,41,522,539,91,263,10,22,4,231,7,2,53,22684,11716"
"마약범죄,마약범죄,2886,935,1260,1276,218,10,3,262,479,4,5,22,183,21,3,0,82,1199,8,2,12,13,47,27,65,438,31,30,12,1,39,2,10,171,4,1,1,4,8,6,7,19,24,3,0,7,0,0,1,291,461,9,601,3,50,21,27,8,12,3,3452,694"
"보건범죄,보건범죄,181,296,158,573,91,2,4,195,215,0,10,52,20,409,10,5,491,173,63,68,450,210,1356,91,380,986,0,5,0,0,8,3,0,1,2,0,1,0,3,2,18,12,38,24,1,5,0,3,1,1,1173,6,117,7,10,1,13,1,2,13,2438,424"
"환경범죄,환경범죄,23,23,3,3,7,0,1,72,29,0,1,3,0,5,18,0,36,5,5,0,1,3,4,0,1,0,1,0,0,1,0,0,0,0,0,0,68,1,1,0,2,4,0,0,0,8,0,0,0,1,8,2,495,1188,76,0,7,1,0,1,5118,158"
"교통범죄,교통범죄,113,1807,159,116,74,13430,3926,200239,5462,14,63,33,15,145,15,5,135,63,2,2,1,2,60,5,1,5,27,8,3,6,3,161,7,58,2,1,16,0,52,2,28,59,0,2,2,99,2,2,5,6,42,17,284,29,55,0,95,13,0,3,7857,798"
"노동범죄,노동범죄,6,7,3,5,6,0,0,1,1,0,0,0,3,0,0,0,14,1,0,0,0,0,25,1,3,44,0,0,1,0,0,1,0,0,0,0,14,0,0,0,1,0,1,1,1,0,0,3,2,0,5,0,6,3,0,0,35,0,0,2,1697,53"
"안보범죄,안보범죄,10,34,8,16,10,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,1,0,2,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,7,0,0,0,104,34"
"선거범죄,선거범죄,83,18,3,0,15,0,1,8,24,0,0,4,1,2,1,0,16,1,1,0,0,0,58,7,4,5,0,1,0,0,0,3,0,1,0,0,1,0,3,1,5,2,0,0,0,6,0,0,2,31,1,0,17,1,0,0,22,0,0,1,330,71"
"병역범죄,병역범죄,377,501,257,171,78,1,0,6,2,1,2,0,0,1,0,1,3,3,1,1,2,0,7,1,0,0,0,12,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,3,1,17,0,10,0,25,0,1,0,357,1275,1,46,3818,1609"
"기타범죄,기타범죄,11219,22129,10127,5367,2145,775,452,20080,9509,115,319,595,2607,909,343,267,4513,3061,251,212,872,366,5113,650,2663,2962,166,535,64,32,237,318,362,527,165,11,3801,226,126,74,1040,783,1852,895,681,1918,79,473,315,288,2280,578,4365,15674,380,151,9370,818,170,502,89259,26728"
